Berapa kelompok usia Anda?,Apa jenis kelamin Anda?,Apa pekerjaan Anda?,Produk apa yang paling sering Anda beli secara online? ,Seberapa sering Anda berbelanja online atau daring dalam sebulan?,Berapa rata-rata pengeluaran Anda setiap kali berbelanja online? ,Apa yang biasanya mendorong Anda untuk berbelanja di e-commerce? ,Faktor apa yang paling memengaruhi keputusan Anda dalam membeli produk? ,Apakah Anda cenderung membeli jenis produk yang sama secara berulang?,Aplikasi/situs belanja apa yang sering Anda gunakan?,Berapa lama rata-rata waktu yang Anda habiskan saat dalam satu sesi belanja online?,Kapan terakhir kali Anda melakukan pembelian online?,Apakah Anda sering berbelanja di toko atau merek yang sama?
18 - 23 Tahun,Laki-laki,Pelajar / Mahasiswa,Makanan & Minuman,3 - 5 kali,Rp. 100.000 - Rp. 200.000,Kebutuhan Rutin,Ulasan dari pelanggan,Jarang,Shopee,5 - 10 menit,Sering,Kadang-kadang
18 - 23 Tahun,Laki-laki,Pelajar / Mahasiswa,Elektronik,1 - 2 kali,Rp. 500.000 - Rp. 1.000.000,Mengikuti Trend,Informasi dari internet / pengetahuan pribadi,Kadang-kadang,Shopee,10 - 30 menit,Jarang,Jarang
< 18 Tahun,Laki-laki,Pelajar / Mahasiswa,Fashion,1 - 2 kali,< Rp. 100.000,Kebutuhan Khusus / Mendesak,Harga / Diskon,Kadang-kadang,Shopee,10 - 30 menit,Kadang-kadang,Kadang-kadang
< 18 Tahun,Laki-laki,Pelajar / Mahasiswa,Makanan & Minuman,3 - 5 kali,Rp. 100.000 - Rp. 200.000,Adanya Diskon Besar / Flash Sale,Ulasan dari pelanggan,Jarang,Shopee,10 - 30 menit,Jarang,Kadang-kadang
< 18 Tahun,Laki-laki,Pelajar / Mahasiswa,Elektronik,1 - 2 kali,< Rp. 100.000,Kebutuhan Khusus / Mendesak,Ulasan dari pelanggan,Tidak Pernah,Shopee,< 5 menit,Jarang,Kadang-kadang
< 18 Tahun,Perempuan,Pelajar / Mahasiswa,Makanan & Minuman,Tidak pernah,< Rp. 100.000,Kebutuhan Rutin,Ulasan dari pelanggan,Kadang-kadang,Shopee,5 - 10 menit,Jarang,Jarang
< 18 Tahun,Perempuan,Pelajar / Mahasiswa,Produk Kesehatan & Kecantikan,1 - 2 kali,< Rp. 100.000,Kebutuhan Khusus / Mendesak,Reputasi atau kredibilitas toko,Tidak Pernah,Tokopedia,5 - 10 menit,Jarang,Kadang-kadang
18 - 23 Tahun,Laki-laki,Pelajar / Mahasiswa,Elektronik,3 - 5 kali,< Rp. 100.000,Adanya Diskon Besar / Flash Sale,Harga / Diskon,Kadang-kadang,Shopee,10 - 30 menit,Kadang-kadang,Kadang-kadang
18 - 23 Tahun,Perempuan,Pegawai Negeri Sipil atau Swasta,Fashion,3 - 5 kali,Rp. 200.000 - Rp. 500.000,Kebutuhan Khusus / Mendesak,Harga / Diskon,Sering,Shopee,30 menit - 1 jam,Sering,Sering
18 - 23 Tahun,Laki-laki,Pelajar / Mahasiswa,Otomotif,1 - 2 kali,Rp. 200.000 - Rp. 500.000,Adanya Diskon Besar / Flash Sale,Reputasi atau kredibilitas toko,Jarang,Shopee,< 5 menit,Jarang,Tidak pernah
